,num_tweets,sum_likes,tweets_liked,likes_mean,likes_std,polarity_mean,polarity_std,subjectivity_mean,subjectivity_std,negative_mean,neutral_mean,positive_mean,negative_std,neutral_std,positive_std,tweet_len_mean,tweet_len_std,num_words_mean,num_words_std,num_sentences_mean,num_sentences_std,avg_word_len_mean,avg_word_len_std,num_token_mean,num_token_std,total_tokens
tw_public,1274,46834,191,245,,0.15,0.24,0.29,0.31,0.01,0.87,0.13,0.04,0.14,0.14,159.26,62.51,19.76,11.09,1.77,1.01,9.1,7.85,12.97,7.12,1274
tw_corpo,3639,227587,4259,53,,0.27,0.31,0.46,0.33,0.02,0.81,0.17,0.05,0.16,0.16,137.47,62.51,19.61,9.78,1.61,0.73,6.33,1.66,11.75,6.28,3639
tw_startup,988,9744,359,27,,0.16,0.27,0.32,0.31,0.02,0.83,0.15,0.05,0.18,0.18,122.51,38.12,15.59,5.9,1.37,0.64,7.24,1.61,9.14,3.84,988
tw_academic,376,44954,288,156,,0.17,0.29,0.32,0.32,0.02,0.86,0.12,0.05,0.16,0.15,157.5,74.66,21.41,11.23,1.57,0.86,7.3,3.11,13.25,7.38,376
tw_civil,156,71518,137,522,,0.14,0.24,0.33,0.32,0.01,0.9,0.09,0.03,0.11,0.11,157.5,55.23,20.84,9.58,1.47,0.71,7.77,6.25,12.96,5.84,156
tw_media,3223,0,0,0,,0.03,0.18,0.19,0.27,0.06,0.87,0.07,0.11,0.14,0.11,120.49,26.39,12.9,3.81,1.2,0.43,8.62,1.23,8.48,2.75,3223
il_public,707,35103,232,151,,0.02,0.12,0.02,0.14,0,0.99,0,0.01,0.04,0.03,116.61,60.68,18.41,10.55,1.81,0.92,5.89,2.61,17.72,10.79,707
il_corpo,3790,6077,673,9,,0.18,0.27,0.38,0.3,0.05,0.82,0.13,0.07,0.12,0.11,209.62,64.77,26.86,9.13,2.16,1,7.04,1.69,16.59,5.99,3790
il_startup,3658,7999,667,12,,0.21,0.27,0.38,0.32,0.02,0.81,0.18,0.05,0.2,0.2,128.68,68.38,18.62,10.25,1.49,0.73,6.18,1.5,11.32,6.71,3658
il_academic,3311,13202,597,22,,0.18,0.29,0.31,0.32,0.02,0.85,0.13,0.05,0.16,0.16,147.13,62.22,19.13,9.31,1.53,0.79,7.39,2.42,11.81,6.28,3311
il_civil,2171,3099,459,7,,0.04,0.16,0.1,0.24,0.01,0.96,0.03,0.05,0.1,0.09,106.91,38.52,15.21,6.56,1.43,0.69,6.58,2.06,12.7,6.86,2171
il_media,2877,1520,418,4,,0.05,0.24,0.26,0.31,0.09,0.83,0.08,0.12,0.14,0.11,143.7,54.81,17.25,7.77,1.22,0.53,7.75,1.86,13.14,6.96,2877
ee_public,3410,7480,451,16,,0.18,0.29,0.3,0.32,0.01,0.86,0.13,0.04,0.15,0.14,134.45,48.46,17.1,7.4,1.31,0.6,7.32,1.81,10,4.66,3410
ee_corpo,2540,1072,71,15,,0.1,0.31,0.41,0.35,0.04,0.81,0.14,0.07,0.14,0.14,143.12,66.73,23.77,12.35,1.66,0.86,5.37,1.33,13.55,7.21,2540
ee_startup,846,1078,317,3,,0.21,0.27,0.38,0.3,0.01,0.86,0.12,0.04,0.12,0.12,184.24,81.22,25.67,12.31,1.33,0.54,6.48,1.4,15.55,8.17,846
ee_academic,637,2425,290,8,,0.17,0.27,0.25,0.3,0,0.89,0.1,0.03,0.14,0.13,136.34,58.27,17.23,7.99,1.37,0.65,7.35,2,11.2,6.04,637
ee_civil,469,3903,337,12,,0.16,0.26,0.31,0.3,0.01,0.85,0.14,0.04,0.13,0.13,181.92,73.52,23.38,10.96,1.52,0.75,7.2,1.55,14.81,7.82,469
ee_media,3229,260,166,2,,0,0.04,0.01,0.08,0.01,0.99,0,0.05,0.06,0.03,82.5,16.01,8.14,2.16,1.02,0.14,9.54,1.65,6.83,2.1,3229
taipei,17341,,,,,0.18,0.29,0.33,0.33,0.02,0.85,0.12,0.06,0.14,0.14,144.49,61.57,18.57,9.05,1.49,0.78,7.22,1.93,12.38,6.06,17341
telaviv,17620,,,,,0.16,0.3,0.33,0.33,0.05,0.83,0.12,0.11,0.16,0.14,140.12,62.82,18.46,9.09,1.45,18.96,6.97,1.54,11.68,5.83,17620
tallinn,6299,,,,,0.22,0.3,0.36,0.33,0.01,0.85,0.14,0.05,0.14,0.14,147.07,65.55,18.96,9.22,1.52,0.78,7.13,1.54,11.78,5.64,6299
all_public,5391,,,137,,0.15,0.27,0.26,0.31,0.01,0.88,0.11,0.04,0.15,0.14,137.98,55.38,17.9,8.92,1.49,0.79,7.55,4.3,11.71,6.92,5391
all_corpo,9969,,,26,,0.19,0.3,0.42,0.32,0.04,0.82,0.15,0.07,0.14,0.14,166.34,72.87,23.43,10.73,1.83,0.91,6.36,1.72,14.05,6.76,9969
all_startup,5492,,,14,,0.2,0.27,0.37,0.32,0.02,0.82,0.17,0.05,0.19,0.19,136.13,69.42,19.16,10.42,1.44,0.69,6.42,1.56,11.58,6.81,5492
all_academic,4324,,,62,,0.18,0.28,0.3,0.32,0.02,0.86,0.13,0.05,0.16,0.15,146.44,63.05,19.05,9.37,1.51,0.78,7.37,2.43,11.85,6.37,4324
all_civil,2796,,,180,,0.06,0.19,0.15,0.27,0.01,0.94,0.05,0.05,0.12,0.1,122.23,55.43,16.9,8.3,1.45,0.71,6.75,2.45,13.07,7.02,2796
all_media,9329,,,2,,0.03,0.17,0.15,0.26,0.05,0.9,0.05,0.1,0.14,0.1,114.5,43.42,12.59,6.23,1.15,0.41,8.67,1.75,9.34,5.1,9329
all_city,41260,,,,,0.18,0.3,0.33,0.33,0.03,0.84,0.12,0.09,0.15,0.14,143.02,62.78,18.58,9.09,1.48,0.76,7.1,1.72,11.99,5.91,41260
global,78561,,,,,0.16,0.29,0.31,0.33,0.03,0.85,0.12,0.08,0.15,0.14,141.21,63.46,18.44,9.51,1.48,0.77,7.18,2.16,11.92,6.26,78561
